0.4,15.6,7217,0.3,2.2,14.2
0.6,23.5,7209,1.3,10,42.7
0.8,31.3,7202,2.4,17.8,56.9
1,39.1,7195,3.4,25.6,65.4
1.2,46.9,7187,4.4,33.3,71
1.4,54.7,7180,5.5,41,74.9
1.6,62.6,7172,6.5,48.7,77.9
1.8,70.4,7165,7.5,56.4,80.2
2,78.2,7158,8.6,64.1,82
2.2,86,7150,9.6,71.8,83.5
2.4,93.8,7143,10.6,79.4,84.7
2.6,101.7,7135,11.7,87.1,85.6
2.8,109.5,7128,12.7,94.7,86.5
3,117.3,7121,13.7,102.3,87.2
3.2,125.1,7113,14.8,109.9,87.8
3.4,132.9,7106,15.8,117.4,88.3
3.6,140.8,7099,16.8,125,88.8
3.8,148.6,7091,17.8,132.5,89.2
4,156.4,7084,18.9,140.1,89.6
4.2,164.2,7076,19.9,147.6,89.9
4.4,172,7069,20.9,155.1,90.1
4.6,179.9,7062,22,162.5,90.4
4.8,187.7,7054,23,170,90.6
5,195.5,7047,24,177.4,90.8
5.2,203.3,7039,25.1,184.9,90.9
5.4,211.1,7032,26.1,192.3,91.1
5.6,219,7025,27.1,199.7,91.2
5.8,226.8,7017,28.2,207,91.3
6,234.6,7010,29.2,214.4,91.4
6.2,242.4,7002,30.2,221.7,91.5
6.4,250.2,6995,31.3,229.1,91.5
6.6,258.1,6988,32.3,236.4,91.6
6.8,265.9,6980,33.3,243.7,91.7
7,273.7,6973,34.4,251,91.7
7.2,281.5,6965,35.4,258.2,91.7
7.4,289.3,6958,36.4,265.5,91.8
7.6,297.2,6951,37.5,272.7,91.8
7.8,305,6943,38.5,279.9,91.8
8,312.8,6936,39.5,287.1,91.8
8.2,320.6,6928,40.6,294.3,91.8
8.4,328.4,6921,41.6,301.5,91.8
8.6,336.3,6914,42.6,308.6,91.8
8.8,344.1,6906,43.7,315.8,91.8
9,351.9,6899,44.7,322.9,91.8
9.2,359.7,6891,45.7,330,91.7
9.4,367.5,6884,46.8,337.1,91.7
9.6,375.4,6877,47.8,344.2,91.7
9.8,383.2,6869,48.8,351.2,91.7
10,391,6862,49.9,358.3,91.6
