0.4,19.6,9029,0,0.2,1.2
0.6,29.3,9022,1.1,10,34
0.8,39.1,9015,2.1,19.7,50.4
1,48.9,9007,3.1,29.5,60.2
1.2,58.7,9000,4.2,39.2,66.7
1.4,68.5,8992,5.2,48.9,71.4
1.6,78.2,8985,6.2,58.5,74.8
1.8,88,8978,7.3,68.2,77.5
2,97.8,8970,8.3,77.8,79.6
2.2,107.6,8963,9.3,87.5,81.3
2.4,117.4,8955,10.4,97.1,82.7
2.6,127.1,8948,11.4,106.7,83.9
2.8,136.9,8941,12.4,116.2,84.9
3,146.7,8933,13.4,125.8,85.8
3.2,156.5,8926,14.5,135.4,86.5
3.4,166.3,8918,15.5,144.9,87.1
3.6,176,8911,16.5,154.4,87.7
3.8,185.8,8904,17.6,163.9,88.2
4,195.6,8896,18.6,173.4,88.6
4.2,205.4,8889,19.6,182.9,89
4.4,215.2,8881,20.7,192.3,89.4
4.6,224.9,8874,21.7,201.7,89.7
4.8,234.7,8867,22.7,211.2,90
5,244.5,8859,23.8,220.6,90.2
5.2,254.3,8852,24.8,230,90.4
5.4,264.1,8844,25.8,239.3,90.6
5.6,273.8,8837,26.9,248.7,90.8
5.8,283.6,8830,27.9,258,91
6,293.4,8822,28.9,267.3,91.1
6.2,303.2,8815,30,276.7,91.3
6.4,313,8807,31,285.9,91.4
6.6,322.7,8800,32,295.2,91.5
6.8,332.5,8793,33.1,304.5,91.6
7,342.3,8785,34.1,313.7,91.7
7.2,352.1,8778,35.1,323,91.7
7.4,361.9,8770,36.2,332.2,91.8
7.6,371.6,8763,37.2,341.4,91.9
7.8,381.4,8756,38.2,350.5,91.9
8,391.2,8748,39.3,359.7,91.9
8.2,401,8741,40.3,368.9,92
8.4,410.8,8733,41.3,378,92
8.6,420.5,8726,42.4,387.1,92
8.8,430.3,8719,43.4,396.2,92.1
9,440.1,8711,44.4,405.3,92.1
9.2,449.9,8704,45.5,414.4,92.1
9.4,459.7,8696,46.5,423.4,92.1
9.6,469.4,8689,47.5,432.4,92.1
9.8,479.2,8682,48.6,441.5,92.1
10,489,8674,49.6,450.5,92.1
10.2,498.8,8667,50.6,459.5,92.1
10.4,508.6,8660,51.7,468.4,92.1
10.6,518.3,8652,52.7,477.4,92.1
10.8,528.1,8645,53.7,486.3,92.1
11,537.9,8637,54.8,495.2,92.1
11.2,547.7,8630,55.8,504.1,92.1
11.4,557.5,8623,56.8,513,92
11.6,567.2,8615,57.9,521.9,92
11.8,577,8608,58.9,530.8,92
12,586.8,8600,59.9,539.6,92
