0.4,12.5,5746,0.5,3.2,25.6
0.6,18.7,5739,1.6,9.4,50.3
0.8,24.9,5732,2.6,15.6,62.5
1,31.2,5724,3.6,21.8,69.8
1.2,37.4,5717,4.7,27.9,74.7
1.4,43.6,5710,5.7,34,78.1
1.6,49.8,5702,6.7,40.2,80.6
1.8,56.1,5695,7.8,46.3,82.5
2,62.3,5687,8.8,52.4,84
2.2,68.5,5680,9.8,58.4,85.3
2.4,74.8,5673,10.9,64.5,86.3
2.6,81,5665,11.9,70.5,87.1
2.8,87.2,5658,12.9,76.6,87.8
3,93.5,5650,14,82.6,88.4
3.2,99.7,5643,15,88.6,88.8
3.4,105.9,5636,16,94.5,89.3
3.6,112.1,5628,17.1,100.5,89.6
3.8,118.4,5621,18.1,106.5,89.9
4,124.6,5613,19.1,112.4,90.2
4.2,130.8,5606,20.2,118.3,90.4
4.4,137.1,5599,21.2,124.2,90.6
4.6,143.3,5591,22.2,130.1,90.8
4.8,149.5,5584,23.2,135.9,90.9
5,155.8,5576,24.3,141.8,91
5.2,162,5569,25.3,147.6,91.1
5.4,168.2,5562,26.3,153.4,91.2
5.6,174.4,5554,27.4,159.2,91.3
5.8,180.7,5547,28.4,165,91.3
6,186.9,5539,29.4,170.8,91.4
6.2,193.1,5532,30.5,176.6,91.4
6.4,199.4,5525,31.5,182.3,91.4
6.6,205.6,5517,32.5,188,91.5
6.8,211.8,5510,33.6,193.7,91.5
7,218.1,5502,34.6,199.4,91.5
7.2,224.3,5495,35.6,205.1,91.4
7.4,230.5,5488,36.7,210.7,91.4
7.6,236.7,5480,37.7,216.4,91.4
7.8,243,5473,38.7,222,91.4
8,249.2,5465,39.8,227.6,91.3
