0.4,8.0,3684,0.9,3.5,43.7
0.6,12.0,3677,1.9,7.5,62.2
0.8,16.0,3669,3.0,11.4,71.4
1.0,20.0,3662,4.0,15.4,76.8
1.2,24.0,3655,5.0,19.3,80.3
1.4,28.0,3647,6.1,23.2,82.8
1.6,32.0,3640,7.1,27.1,84.6
1.8,36.0,3632,8.1,30.9,85.9
2.0,40.0,3625,9.2,34.8,87.0
2.2,44.0,3618,10.2,38.6,87.8
2.4,48.0,3610,11.2,42.5,88.5
2.6,52.0,3603,12.3,46.3,89.0
2.8,56.0,3595,13.3,50.1,89.4
3.0,60.0,3588,14.3,53.8,89.7
3.2,64.0,3581,15.4,57.6,90.0
3.4,68.0,3573,16.4,61.3,90.2
3.6,72.0,3566,17.4,65.1,90.4
3.8,76.0,3558,18.5,68.8,90.5
4.0,80.0,3551,19.5,72.5,90.6
4.2,84.0,3544,20.5,76.2,90.7
4.4,88.0,3536,21.6,79.8,90.7
4.6,92.0,3529,22.6,83.5,90.7
4.8,96.0,3522,23.6,87.1,90.7
5.0,100.0,3514,24.7,90.7,90.7
5.2,104.0,3507,25.7,94.3,90.7
5.4,108.0,3499,26.7,97.9,90.7
5.6,112.0,3492,27.8,101.5,90.6
5.8,116.0,3485,28.8,105.0,90.6
6.0,120.0,3477,29.8,108.6,90.5
